id,rt,mz,integer,decimal
66,10.238716,456.3482314125855,456,0.3482314125855055
51,9.647161,456.80073544196927,456,0.800735441969266
52,9.814141,463.80398658850334,463,0.803986588503335
75,11.234183,466.26650272736015,466,0.26650272736014813
130,13.287839,468.3699065042079,468,0.36990650420790416
131,13.290225,468.3822157288658,468,0.3822157288657877
199,18.28271,471.08143966211577,471,0.0814396621157698
201,18.264576,471.0939790632291,471,0.09397906322908511
200,18.28271,473.07940579044686,473,0.07940579044685592
202,18.264576,473.09210638400145,473,0.09210638400145399
85,12.253484,476.2903787803523,476,0.2903787803522846
147,14.07755,482.38389382688337,482,0.3838938268833658
76,11.745892,484.3783566213708,484,0.3783566213708127
166,14.849017,496.39844959644944,496,0.39844959644943856
167,14.858684,496.4117159726633,496,0.41171597266327353
99,12.532756,498.37983724967734,498,0.3798372496773368
